idx,technical_term,layman_term
0,_,change
1,@,at
2,#,number
3,°f,degrees fahrenheit
4,<,less than
5,>,greater than
6,~,approximately
7,17-ks,17-ketosteroid
8,2°,secondary to
9,5-hiaa,5-hydroxyindoleacetic acid
10,a,assessment
11,a-,before
12,a/g,albumin-globulin ratio
13,a/v,ratio ratio of the size of the arterioles to venules
14,a&p,auscultation and percussion
15,aa,alcoholics anonymous
16,aai.,ankle-arm index
17,ab,abortion
18,abd,abdomen
19,abdomen,stomach
20,abdominal,"referring to the body cavity which contains stomach, intestines,
liver, and other organs"
21,abg,arterial blood gases
22,abi,ankle-brachial index
23,abk,aphakic bullous keratopathy
24,ablation,remove
25,abrasion,area where skin or other tissue is scraped away
26,absorb,"take up fluids, take in"
27,absorption,the way a drug or other substance enters the body
28,abstain,avoid
29,accommodate,meet/agree to
30,acetaminophen,the active ingredient of tylenol / panadol
31,ach,adrenocortical hormone
32,acid taste,sour taste
33,acidosis,condition when blood contains more acid than normal
34,acknowledged,accepted; recognized; approved
35,acls,advanced coronary life support
36,acrediting agency,reviewing agency; licensing agency
37,acth,adrenocorticotropic hormone
38,acuity,"clearness, keenness, esp. of vision - airways"
39,acute,"new, recent, sudden"
40,ad lib,as desired
41,ada,american diabetic association
42,adenopathy,swollen lymph nodes (glands)
43,adh,antidiuretic hormone
44,adhesion,being stuck together
45,adjuvant,"helpful, assisting, aiding"
46,adjuvant treatment,added treatment
47,adl,activities of daily life
48,adm,admission
49,adrenal gland,gland found over each kidney
50,adverse,events injuries; bad reactions
51,adverse effect,negative side effect
52,afb,acid fast bacilli
53,ãg,gamma globulin
54,agent,"drug, medication"
55,ai,aortic insufficiency
56,aids,acquired immune deficiency syndrome
57,aka,above knee amputation
58,alb,albumin
59,albumin,protein found in blood
60,alk,phos alkaline phosphatase
61,allergic,"reaction rash, trouble breathing"
62,alopecia,loss of hair
63,als,amyotrophic lateral sclerosis
64,alt,alanine aminotransferase (formerly sgpt)
65,alternately,ceasing and beginning
66,alternative,choice
67,ama,against medical advice
68,amb,ambulate
69,ambulate,able to walk
70,ambulation,able to walk
71,ambulatory,able to walk
72,amend,change
